cell_type,cell_typeLabel
http://www.wikidata.org/entity/Q101404904,human osteocyte
http://www.wikidata.org/entity/Q101404905,human serotonergic neuron
http://www.wikidata.org/entity/Q101404906,human enteric neuron
http://www.wikidata.org/entity/Q101404908,human endothelial cell
http://www.wikidata.org/entity/Q101404909,human sertoli cell
http://www.wikidata.org/entity/Q101404910,human hepatoblast
http://www.wikidata.org/entity/Q101404911,human principal cell
http://www.wikidata.org/entity/Q101404912,human retinal progenitor cell
http://www.wikidata.org/entity/Q101404913,human purkinje neuron
http://www.wikidata.org/entity/Q101404914,human alpha cell
http://www.wikidata.org/entity/Q101404915,human intercalated cell
http://www.wikidata.org/entity/Q101404916,human gastric chief cell
http://www.wikidata.org/entity/Q101404917,human oligodendrocyte progenitor cell
http://www.wikidata.org/entity/Q101404918,human glutaminergic neuron
http://www.wikidata.org/entity/Q101404920,human bergmann glia
http://www.wikidata.org/entity/Q101404921,human granulosa cell
http://www.wikidata.org/entity/Q101404922,human epsilon cell
http://www.wikidata.org/entity/Q101404923,human mast cell
http://www.wikidata.org/entity/Q101404924,human myoepithelial cell
http://www.wikidata.org/entity/Q101404925,human oxyphil cell
http://www.wikidata.org/entity/Q101404926,human endothelial cell (aorta)
http://www.wikidata.org/entity/Q101404927,human trophoblast cell
http://www.wikidata.org/entity/Q101404928,human osteoclast
http://www.wikidata.org/entity/Q101404929,human salivary mucous cell
http://www.wikidata.org/entity/Q101404930,human pyramidal cell
http://www.wikidata.org/entity/Q101404931,human germ cell
http://www.wikidata.org/entity/Q101404932,human noradrenergic neuron
http://www.wikidata.org/entity/Q101404933,human merkel cell
http://www.wikidata.org/entity/Q101404934,human microfold cell
http://www.wikidata.org/entity/Q101404935,human enteroendocrine cell
http://www.wikidata.org/entity/Q101404936,human red pulp macrophages
http://www.wikidata.org/entity/Q101404937,human vascular smooth muscle cell
http://www.wikidata.org/entity/Q101404939,human gabaergic neuron
http://www.wikidata.org/entity/Q101404940,human myoblast
http://www.wikidata.org/entity/Q101404941,human stromal cell
http://www.wikidata.org/entity/Q101404942,human adipocyte progenitor cell
http://www.wikidata.org/entity/Q101404943,human adipocyte progenitor cell
http://www.wikidata.org/entity/Q101404944,human myeloid-derived suppressor cell
http://www.wikidata.org/entity/Q101404945,human hemangioblast
http://www.wikidata.org/entity/Q101404946,human hepatic stellate cell
http://www.wikidata.org/entity/Q101404947,human ionocyte
http://www.wikidata.org/entity/Q101404948,human epithelial cell
http://www.wikidata.org/entity/Q101404949,human myofibroblast
http://www.wikidata.org/entity/Q101404950,human pulmonary alveolar type ii cell
http://www.wikidata.org/entity/Q101404951,human satellite glial cell
http://www.wikidata.org/entity/Q101404953,human satellite cell
http://www.wikidata.org/entity/Q101404954,human luteal cell
http://www.wikidata.org/entity/Q101404955,human pulmonary vascular smooth muscle cell
http://www.wikidata.org/entity/Q101404956,human ductal cell
http://www.wikidata.org/entity/Q101404957,human erythroid-like and erythroid precursor cell
http://www.wikidata.org/entity/Q101405030,human adrenergic neuron
http://www.wikidata.org/entity/Q101405031,human neuroblast
http://www.wikidata.org/entity/Q101405033,human plasmacytoid dendritic cell
http://www.wikidata.org/entity/Q101405034,human anterior pituitary gland cell
http://www.wikidata.org/entity/Q101405035,human interneuron
http://www.wikidata.org/entity/Q65699710,human  red blood cell
http://www.wikidata.org/entity/Q28194770,Human umbilical artery endothelial cells
http://www.wikidata.org/entity/Q5939177,Human umbilical vein endothelial cell
http://www.wikidata.org/entity/Q101405036,human monocyte
http://www.wikidata.org/entity/Q101405037,human nuocyte
http://www.wikidata.org/entity/Q101405038,human thymocyte
http://www.wikidata.org/entity/Q101405039,human podocyte
http://www.wikidata.org/entity/Q101405040,human paneth cell
http://www.wikidata.org/entity/Q101405041,human neural stem/precursor cell
http://www.wikidata.org/entity/Q101405042,human cholangiocyte
http://www.wikidata.org/entity/Q101405043,human crypt cell
http://www.wikidata.org/entity/Q101405044,human osteoblast
http://www.wikidata.org/entity/Q101405045,human pericyte
http://www.wikidata.org/entity/Q101405046,human erythroblast
http://www.wikidata.org/entity/Q101405047,human olfactory epithelial cell
http://www.wikidata.org/entity/Q101405048,human eosinophil
http://www.wikidata.org/entity/Q101405049,human keratinocyte
http://www.wikidata.org/entity/Q101405050,human taste receptor cell
http://www.wikidata.org/entity/Q101405051,human cholinergic neuron
http://www.wikidata.org/entity/Q101405052,human hematopoietic stem cell
http://www.wikidata.org/entity/Q101405053,human spermatozoa
http://www.wikidata.org/entity/Q101405054,human goblet cell
http://www.wikidata.org/entity/Q101405055,human pluripotent stem cell
http://www.wikidata.org/entity/Q101405056,human foveolar cell
http://www.wikidata.org/entity/Q101405057,human gamma (pp) cell
http://www.wikidata.org/entity/Q101405058,human peritubular myoid cell
http://www.wikidata.org/entity/Q101405059,human b cell memory
http://www.wikidata.org/entity/Q101405061,human pulmonary alveolar type i cell
http://www.wikidata.org/entity/Q101405062,human endothelial cell (blood brain barrier)
http://www.wikidata.org/entity/Q101405063,human pancreatic progenitor cell
http://www.wikidata.org/entity/Q101405064,human alveolar macrophages
http://www.wikidata.org/entity/Q101405065,human airway epithelial cell
http://www.wikidata.org/entity/Q101405066,human ciliated cell
http://www.wikidata.org/entity/Q101405067,human immature neuron
http://www.wikidata.org/entity/Q101405068,human kupffer cell
http://www.wikidata.org/entity/Q101405069,human sebocyte
http://www.wikidata.org/entity/Q101405070,human osteoclast precursor cell
http://www.wikidata.org/entity/Q101405071,human t memory cell
http://www.wikidata.org/entity/Q101405073,human enterocyte
http://www.wikidata.org/entity/Q101405074,human tanycyte
http://www.wikidata.org/entity/Q101405075,human t cell
http://www.wikidata.org/entity/Q101405076,human cardiac stem and precursor cell
http://www.wikidata.org/entity/Q101405077,human cardiomyocyte
http://www.wikidata.org/entity/Q101405078,human ependymal cell
http://www.wikidata.org/entity/Q101405079,human adipocyte
http://www.wikidata.org/entity/Q101405080,human langerhans cell
http://www.wikidata.org/entity/Q101405081,human macrophages
http://www.wikidata.org/entity/Q101405083,human meningeal cell
