cell_type;gene
http://www.wikidata.org/entity/Q101405096;http://www.wikidata.org/entity/Q14902502
http://www.wikidata.org/entity/Q101405096;http://www.wikidata.org/entity/Q14890468
http://www.wikidata.org/entity/Q101405096;http://www.wikidata.org/entity/Q14881725
http://www.wikidata.org/entity/Q101405096;http://www.wikidata.org/entity/Q14880373
http://www.wikidata.org/entity/Q101405096;http://www.wikidata.org/entity/Q14877681
http://www.wikidata.org/entity/Q101405096;http://www.wikidata.org/entity/Q14865236
http://www.wikidata.org/entity/Q101405096;http://www.wikidata.org/entity/Q14864935
http://www.wikidata.org/entity/Q101404901;http://www.wikidata.org/entity/Q4652205
http://www.wikidata.org/entity/Q101404901;http://www.wikidata.org/entity/Q20970154
http://www.wikidata.org/entity/Q101404901;http://www.wikidata.org/entity/Q18060760
http://www.wikidata.org/entity/Q101404901;http://www.wikidata.org/entity/Q18056611
http://www.wikidata.org/entity/Q101404901;http://www.wikidata.org/entity/Q18055762
http://www.wikidata.org/entity/Q101404901;http://www.wikidata.org/entity/Q18055383
http://www.wikidata.org/entity/Q101404901;http://www.wikidata.org/entity/Q18053710
http://www.wikidata.org/entity/Q101404901;http://www.wikidata.org/entity/Q18053431
http://www.wikidata.org/entity/Q101404901;http://www.wikidata.org/entity/Q18053049
http://www.wikidata.org/entity/Q101404901;http://www.wikidata.org/entity/Q18052000
http://www.wikidata.org/entity/Q101404901;http://www.wikidata.org/entity/Q18049735
http://www.wikidata.org/entity/Q101404901;http://www.wikidata.org/entity/Q18049128
http://www.wikidata.org/entity/Q101404901;http://www.wikidata.org/entity/Q18048539
http://www.wikidata.org/entity/Q101404901;http://www.wikidata.org/entity/Q18047361
http://www.wikidata.org/entity/Q101404901;http://www.wikidata.org/entity/Q18046693
http://www.wikidata.org/entity/Q101404901;http://www.wikidata.org/entity/Q18045655
http://www.wikidata.org/entity/Q101404901;http://www.wikidata.org/entity/Q18045556
http://www.wikidata.org/entity/Q101404901;http://www.wikidata.org/entity/Q18045227
http://www.wikidata.org/entity/Q101404901;http://www.wikidata.org/entity/Q18044793
http://www.wikidata.org/entity/Q101404901;http://www.wikidata.org/entity/Q18042938
http://www.wikidata.org/entity/Q101404901;http://www.wikidata.org/entity/Q18042805
http://www.wikidata.org/entity/Q101404901;http://www.wikidata.org/entity/Q18042582
http://www.wikidata.org/entity/Q101404901;http://www.wikidata.org/entity/Q18042388
http://www.wikidata.org/entity/Q101404901;http://www.wikidata.org/entity/Q18040158
http://www.wikidata.org/entity/Q101404901;http://www.wikidata.org/entity/Q18039812
http://www.wikidata.org/entity/Q101404901;http://www.wikidata.org/entity/Q18039792
