Unnamed: 0,Len,Aen,Den,Dpt,P703,P31,P279
148,mouse chondrocyte,mouse chondrocytes,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q775480
149,mouse trichocyte,mouse trichocytes,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q7840744
150,mouse glycinergic neuron,mouse glycinergic neurons,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q101062691
151,mouse müller cell,mouse müller cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q735343
152,mouse dopaminergic neuron,mouse dopaminergic neurons,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q5297290
153,mouse mesothelial cell,mouse mesothelial cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q66562849
154,mouse hepatocyte,mouse hepatocytes,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q827450
155,mouse neutrophil,mouse neutrophils,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q188417
156,mouse neuron,mouse neurons,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q43054
157,mouse astrocyte,mouse astrocytes,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q502961
158,mouse trophoblast stem cell,mouse trophoblast stem cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q101062701
159,mouse parathyroid chief cell,mouse parathyroid chief cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q3272785
160,mouse acinar cell,mouse acinar cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q66590269
161,mouse loop of henle cell,mouse loop of henle cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q101062522
162,mouse clara cell,mouse clara cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q645712
163,mouse follicular cell,mouse follicular cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q5464650
164,mouse airway smooth muscle cell,mouse airway smooth muscle cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q101062548
165,mouse embryonic stem cell,mouse embryonic stem cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q1151519
166,mouse t cytotoxic cell,mouse t cytotoxic cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q376266
167,mouse t cell naive,mouse t cells naive,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q6959842
168,mouse glomus cell,mouse glomus cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q4778753
169,mouse leydig cell,mouse leydig cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q636846
170,mouse retinal ganglion cell,mouse retinal ganglion cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q927337
171,mouse enteric glia cell,mouse enteric glia cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q101062673
172,mouse kidney progenitor cell,mouse kidney progenitor cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q101062528
173,mouse mesangial cell,mouse mesangial cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q3331086
174,mouse reticulocyte,mouse reticulocytes,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q1404923
175,mouse plasma cell,mouse plasma cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q66568528
176,mouse enterochromaffin cell,mouse enterochromaffin cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q568290
177,mouse neuroendocrine cell,mouse neuroendocrine cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q10599959
178,mouse astrocyte progenitor cell,mouse astrocyte progenitor cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q101001053
179,mouse multinuclear myocyte,mouse multinuclear myocytes,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q101003165
180,mouse spermatocyte and spermatozoa,mouse spermatocyte and spermatozoa,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q101003191
181,mouse granulocyte,mouse granulocytes,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q223143
182,mouse theca cell,mouse theca cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q101003314
183,mouse immature neuron ,mouse immature neurons ,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q101003994
184,mouse cortical interneuron,mouse cortical interneurons,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q101004030
185,mouse t cell naive,mouse t cell naive,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q6959842
186,mouse peripheral blood mononuclear cell,mouse peripheral blood mononuclear cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q736033
187,mouse paneth cell,mouse paneth cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q2004084
188,mouse retinal epithelial cell,mouse retinal epithelial cells,cell type of Mus musculus,tipo de célula de Mus musculus,Q83310,Q189118,Q66572893
