item,itemLabel,statements,ensg_wdt,entrez
Q18312690,Mfiq3,6,,100035217
Q18312691,Mfiq1,6,,100035218
Q18312692,Mfeq1,6,,100035219
Q18312693,Mglcq1,6,,100035220
Q18312694,Mlepq2,6,,100035221
Q18312695,Abfp2,6,,100035222
Q18312696,Abfp5,6,,100035223
Q18312697,Abfw2,6,,100035224
Q18312698,Abfw4,6,,100035225
Q18312699,Bodw1,6,,100035226
Q18312700,Bodw3,6,,100035227
Q18312701,Bodw4,6,,100035228
Q18312702,Knyw1,6,,100035229
Q18312703,Knyw4,6,,100035230
Q18312704,Knyw5,6,,100035231
Q18312705,Spnw3,6,,100035232
Q18312706,Spnw4,6,,100035233
Q18312707,Spnw5,6,,100035234
Q18312708,Bwq7,7,,100035235
Q18312709,Bmgr2,6,,100035236
Q18312710,Blmpf4,7,,100035237
Q18312711,Cfmq1,7,,100035238
Q18312712,Mtxe1,6,,100035239
Q18312713,Mtxe3,6,,100035240
Q18312714,Mtxe5,6,,100035241
Q18312715,Mtxe8,6,,100035242
Q18312716,Mtxe9,6,,100035243
Q18312717,Iba7,7,,100035244
Q18312718,Rafaril,6,,100035245
Q18312719,Idd21.3,7,,100035246
Q18312720,Nhdlq8,6,,100035247
Q18312721,Nhdlq9,6,,100035248
Q18312722,Hdlq36,6,,100035249
Q18312723,Hdlq37,6,,100035250
Q18312724,Hdlq39,6,,100035251
Q18312725,Sdtq3,6,,100035252
Q18312726,Sdtq5,6,,100035253
Q18312727,Sdtq7,6,,100035254
Q18312728,Sdtq10,6,,100035255
Q18312729,Mohg1,7,,100035256
Q18312730,Mohg3,6,,100035257
Q18312731,Wght1,6,,100035258
Q18312732,Wght3,6,,100035259
Q18312733,Wght4,6,,100035260
Q18312734,Ltxs2,7,,100035261
Q18312735,Mpvq2,6,,100035262
Q18312736,Pltq3,6,,100035263
Q18312737,Dvs1,6,,100035264
Q18312738,Earheal3,7,,100035265
Q18312739,Earheal4,7,,100035266
Q18312740,Bw24,6,,100035267
Q18312741,Qbis2,6,,100035268
Q18312742,Eppiq2,6,,100035269
Q18312743,Cmn3,7,,100035270
Q18312744,Stheal11,7,,100035271
Q18312745,Ascla1,7,,100035272
Q18312746,Ascla5,6,,100035273
Q18312747,Ath29,7,,100035274
Q18312748,Chlq1,7,,100035275
Q18312749,Chlq3,7,,100035276
Q18312750,Chlq7,7,,100035277
Q18312751,Chlq8,7,,100035278
Q18312752,Pmncq1,7,,100035279
Q18312753,Cafcnq1,7,,100035280
Q18312754,Hdlq42,6,,100035281
Q18312755,Hdlq43,6,,100035282
Q18312756,Hdlq45,6,,100035283
Q18312757,Hdlq46,6,,100035284
Q18312758,Hdlq50,6,,100035285
Q18312759,Hdlq51,6,,100035286
Q18312760,Ath37,7,,100035287
Q18312761,Bnszq2,6,,100035288
Q18312762,Catys1,7,,100035289
Q18312763,Bmd1c,6,,100035290
Q18312764,Asdq1,6,,100035291
Q18312765,Asdq2,6,,100035292
Q18312766,Asdq5,6,,100035293
Q18312767,Pgis1,7,,100035294
Q18312768,Rbcq1,7,,100035295
Q18312769,Rbcq3,7,,100035296
Q18312770,Rbcq4,7,,100035297
Q18312771,Mcvq1,7,,100035298
Q18312772,Chcmq1,7,,100035299
Q18312773,Srilp,6,,100035300
Q18312774,Cmv4,7,,100035301
Q18312775,Cq4,6,,100035302
Q18312776,Bodwt2,7,,100035303
Q18312777,Scgq2,7,,100035304
Q18312778,Sxbq1,7,,100035305
Q18312779,Scgq4,7,,100035306
Q18312780,Sxbq4,7,,100035307
Q18312781,Sxbq3,7,,100035308
Q18312782,Acla2,7,,100035309
Q18312783,Myci1,7,,100035310
Q18312784,Myci2,7,,100035311
Q18312785,Lmr18,7,,100035312
Q18312786,Prtia1,7,,100035313
Q18312787,Gwth1,7,,100035314
Q18312788,Gwth2,6,,100035315
Q18312789,Orgwt2,6,,100035316
Q18312790,Orgwt3,6,,100035317
Q18312791,Orgwt4,6,,100035318
Q18312792,Orgwt6,6,,100035319
Q18312793,Orgwt7,6,,100035320
Q18312794,Gwth4,6,,100035321
Q18312795,Gwth5,6,,100035322
Q18312796,Fatpad6,6,,100035323
Q18312797,Gwth6,6,,100035324
Q18312798,Brnvl1,6,,100035325
Q18312799,Brnvl2,6,,100035326
Q18312800,Bpq13,6,,100035327
Q18312801,Ntta2,7,,100035328
Q18312802,Nilac2,7,,100035329
Q18312803,Nilac4,7,,100035330
Q18312804,Nilac8,7,,100035331
Q18312805,Nilac10,7,,100035332
Q18312806,Ctex,7,,100035333
Q18312807,Elads4,6,,100035334
Q18312808,Elcs2,6,,100035335
Q18312809,Elyms1,6,,100035336
Q18312810,Lbn1,7,,100035337
Q18312811,Org2,7,,100035339
Q18312812,Org3,7,,100035340
Q18312813,Org4,7,,100035341
Q18312814,Lbn5,7,,100035342
Q18312815,Bod3,7,,100035343
Q18312816,Lbn7,7,,100035344
Q18312817,Bod5,7,,100035345
Q18312818,Org6,7,,100035346
Q18312819,Bod6,7,,100035347
Q18312820,Bwtn3,7,,100035348
Q18312821,Org8,7,,100035349
Q18312822,Bod9,7,,100035350
Q18312823,Org9,7,,100035351
Q18312824,Org10,7,,100035352
Q18312825,Bwtn5,7,,100035353
Q18312826,Neogq1,7,,100035354
Q18312827,Fecq4,7,,100035355
Q18312828,Pregq1,7,,100035356
Q18312829,Pregq4,7,,100035357
Q18312830,Skmw13,7,,100035358
Q18312831,Skmw16,7,,100035359
Q18312832,Skmw17,7,,100035360
Q18312833,Etax2,6,,100035361
Q18312834,Ccmp1,6,,100035362
Q18312835,Ccmp2,6,,100035363
Q18312836,Ccmp3,6,,100035364
Q18312837,Ccmp4,7,,100035365
Q18312838,Ccmp6,6,,100035366
Q18312839,Etax7,6,,100035367
Q18312840,Etax8,6,,100035368
Q18312841,Etax11,6,,100035369
Q18312842,Alpq1,7,,100035370
Q18312843,Alpq3,7,,100035371
Q18312844,Hemq1,7,,100035372
Q18312845,Hemq4,7,,100035373
Q18312846,Hemq5,7,,100035374
Q18312847,Advh3,6,,100035375
Q18312848,Bfsz1,6,,100035376
Q18312849,Smtw1,6,,100035377
Q18312850,Spmd1,6,,100035378
Q18312851,Spmd4,6,,100035379
Q18312852,Raml2,7,,100035380
Q18312853,Raml5,6,,100035381
Q18312854,Mohg4,6,,100035382
Q18312855,Mohg7,6,,100035383
Q18312856,Mohg9,6,,100035384
Q18312857,Modor2,6,,100035385
